=== Single GPU Memory Bandwidth Test (GPU 0) ===
size                          	time(us)                      	bw(MB/s)                      
1                             2.359172                      0.404241                      
2                             2.330483                      0.818435                      
4                             2.776276                      1.374034                      
8                             2.771862                      2.752444                      
16                            2.753103                      5.542396                      
32                            2.763034                      11.044950                     
64                            2.753103                      22.169584                     
128                           2.780690                      43.899292                     
256                           2.761931                      88.394904                     
512                           2.756414                      177.143673                    
1024                          2.760828                      353.720935                    
2048                          2.796138                      698.508111                    
4096                          2.792828                      1398.672120                   
8192                          2.792828                      2797.344240                   
16384                         2.800552                      5579.257780                   
32768                         2.828138                      11049.673415                  
65536                         2.931862                      21317.510547                  
131072                        3.038897                      41133.351256                  
262144                        3.185655                      78476.789882                  
524288                        3.247448                      153967.037416                 
1048576                       3.677793                      271902.190173                 
2097152                       4.507586                      443696.435360                 
4194304                       6.595310                      606491.539799                 
8388608                       11.030069                     725290.134474                 
16777216                      25.904553                     617652.047172                 
33554432                      58.885517                     543427.344169                 
67108864                      116.353101                    550049.801775                 
134217728                     179.053241                    714871.171400                 
268435456                     308.162196                    830731.359595                 
536870912                     616.677514                    830255.665259                 
1073741824                    1239.938144                   825847.648073                 
2147483648                    2489.254656                   822736.233702                 
4294967296                    5013.710285                   816959.849517                 
=== P2P Bandwidth Test (GPU 0 -> GPU 1) ===
size                          	time(us)                      	bw(MB/s)                      
1                             2.382345                      0.400309                      
2                             2.366897                      0.805844                      
4                             4.743724                      0.804157                      
8                             4.840828                      1.576052                      
16                            4.658759                      3.275291                      
32                            4.694069                      6.501306                      
64                            4.658759                      13.101163                     
128                           4.710621                      25.913848                     
256                           4.756966                      51.322765                     
512                           4.908138                      99.484014                     
1024                          5.033931                      193.996011                    
2048                          4.762483                      410.106490                    
4096                          4.771310                      818.695461                    
8192                          5.662897                      1379.594345                   
16384                         5.667310                      2757.039772                   
32768                         5.772138                      5413.938521                   
65536                         6.222345                      10044.445178                  
131072                        6.970483                      17932.761074                  
262144                        8.654345                      28887.224707                  
524288                        11.763862                     42503.046956                  
1048576                       18.131862                     55151.532505                  
2097152                       29.902345                     66884.386162                  
4194304                       53.790898                     74362.022887                  
8388608                       101.190625                    79058.707606                  
16777216                      195.725244                    81747.247827                  
33554432                      388.932425                    82276.503346                  
67108864                      787.105100                    81310.615326                  
134217728                     1529.543778                   83685.084299                  
268435456                     3027.104082                   84569.275811                  
536870912                     6047.137030                   84668.165686                  
1073741824                    12087.404448                  84716.284987                  
2147483648                    24167.768807                  84740.962905                  
4294967296                    48328.806910                  84752.764694                  
