Found 4 GPU(s)

GPU 0: NVIDIA A100-SXM4-40GB
  Clock rate: 1.41 GHz
  Unified Addressing: Yes

GPU 1: NVIDIA A100-SXM4-40GB
  Clock rate: 1.41 GHz
  Unified Addressing: Yes

P2P Access (GPU 0 -> GPU 1): Supported

P2P enabled: GPU 0 -> GPU 1


=== Test 1: GPU 0 -> GPU 0 (D2D internal, baseline) ===
size(B)        	cycles            	avg_lat(ns)    	total_time(us)    	bw(GB/s)       
4              	160499            	114.978867     	113.829078        	0.032400       
8              	160438            	114.935167     	113.785816        	0.064824       
16             	165494            	118.557203     	117.371631        	0.125688       
32             	165433            	118.513504     	117.328369        	0.251468       
64             	165433            	118.513504     	117.328369        	0.502935       
128            	165433            	118.513504     	117.328369        	1.005871       
256            	167388            	119.914034     	118.714894        	1.988246       
512            	153528            	109.984956     	108.885106        	4.335476       
1024           	156851            	112.365499     	111.241844        	8.487252       
2048           	156209            	111.905581     	110.786525        	17.044267      
4096           	165035            	118.228383     	117.046099        	32.265495      
8192           	633640            	453.929365     	449.390071        	16.807449      
16384          	1838840           	1317.314994    	1304.141844       	11.583250      
32768          	6292040           	4507.514865    	4462.439716       	6.770378       
65536          	12783764          	9158.080092    	9066.499291       	6.664624       

=== Test 2: CPU Memory -> GPU 0 (UMA read) ===
size(B)        	cycles            	avg_lat(ns)    	total_time(us)    	bw(GB/s)       
4              	160499            	114.978867     	113.829078        	0.032400       
8              	160438            	114.935167     	113.785816        	0.064824       
16             	165408            	118.495594     	117.310638        	0.125753       
32             	165408            	118.495594     	117.310638        	0.251506       
64             	165433            	118.513504     	117.328369        	0.502935       
128            	165433            	118.513504     	117.328369        	1.005871       
256            	167388            	119.914034     	118.714894        	1.988246       
512            	153528            	109.984956     	108.885106        	4.335476       
1024           	156051            	111.792392     	110.674468        	8.530762       
2048           	163415            	117.067842     	115.897163        	16.292678      
4096           	166556            	119.318003     	118.124823        	31.970844      
8192           	633845            	454.076223     	449.535461        	16.802013      
16384          	1839065           	1317.476180    	1304.301418       	11.581833      
32768          	6293175           	4508.327960    	4463.244681       	6.769157       
65536          	12784827          	9158.841608    	9067.253191       	6.664069       

=== Test 3: GPU 0 -> CPU Memory (UMA write) ===
size(B)        	cycles            	avg_lat(ns)    	total_time(us)    	bw(GB/s)       
4              	160438            	114.935167     	113.785816        	0.032412       
8              	160438            	114.935167     	113.785816        	0.064824       
16             	165408            	118.495594     	117.310638        	0.125753       
32             	165408            	118.495594     	117.310638        	0.251506       
64             	165433            	118.513504     	117.328369        	0.502935       
128            	165433            	118.513504     	117.328369        	1.005871       
256            	167388            	119.914034     	118.714894        	1.988246       
512            	153528            	109.984956     	108.885106        	4.335476       
1024           	156849            	112.364066     	111.240426        	8.487360       
2048           	156203            	111.901282     	110.782270        	17.044922      
4096           	188805            	135.256824     	133.904255        	28.203363      
8192           	12543371          	8985.866466    	8896.007801       	0.849044       
16384          	3200122           	2292.515223    	2269.590071       	6.655916       
32768          	6478331           	4640.970700    	4594.560993       	6.575689       
65536          	12788812          	9161.696397    	9070.079433       	6.661993       

