Found 4 GPU(s)

GPU 0: NVIDIA A100-SXM4-40GB
  Clock rate: 1.41 GHz
  Shared memory per block: 48 KB
  Unified Addressing: Yes

GPU 1: NVIDIA A100-SXM4-40GB
  Clock rate: 1.41 GHz
  Unified Addressing: Yes

P2P Access (GPU 0 -> GPU 1): Supported

P2P enabled: GPU 0 -> GPU 1


=== Test 1: GPU 0 Global -> GPU 0 Shared (baseline) ===
size(B)        	cycles            	avg_lat(ns)    	total_time(us)    	bw(GB/s)       
4              	183266            	131.288774     	129.975887        	0.028375       
8              	183205            	131.245075     	129.932624        	0.056768       
16             	213090            	152.654202     	151.127660        	0.097614       
32             	212936            	152.543879     	151.018440        	0.195369       
64             	212936            	152.543879     	151.018440        	0.390738       
128            	212936            	152.543879     	151.018440        	0.781475       
256            	214892            	153.945125     	152.405674        	1.548724       
512            	201032            	144.016047     	142.575887        	3.311000       
1024           	210979            	151.141916     	149.630496        	6.309794       
2048           	218899            	156.815674     	155.247518        	12.162997      
4096           	233749            	167.453972     	165.779433        	22.780572      
8192           	384229            	275.255391     	272.502837        	27.717512      
16384          	1272361           	911.498675     	902.383688        	16.740330      
32768          	4221494           	3024.209471    	2993.967376       	10.091093      

=== Test 2: CPU Memory -> GPU 0 Shared (UMA read) ===
size(B)        	cycles            	avg_lat(ns)    	total_time(us)    	bw(GB/s)       
4              	183266            	131.288774     	129.975887        	0.028375       
8              	183205            	131.245075     	129.932624        	0.056768       
16             	212936            	152.543879     	151.018440        	0.097684       
32             	212936            	152.543879     	151.018440        	0.195369       
64             	212936            	152.543879     	151.018440        	0.390738       
128            	212936            	152.543879     	151.018440        	0.781475       
256            	214892            	153.945125     	152.405674        	1.548724       
512            	201032            	144.016047     	142.575887        	3.311000       
1024           	210979            	151.141916     	149.630496        	6.309794       
2048           	218899            	156.815674     	155.247518        	12.162997      
4096           	233749            	167.453972     	165.779433        	22.780572      
8192           	384229            	275.255391     	272.502837        	27.717512      
16384          	1273288           	912.162762     	903.041135        	16.728143      
32768          	4221494           	3024.209471    	2993.967376       	10.091093      

=== Test 3: GPU 1 Global -> GPU 0 Shared (P2P read) ===
size(B)        	cycles            	avg_lat(ns)    	total_time(us)    	bw(GB/s)       
4              	183205            	131.245075     	129.932624        	0.028384       
8              	183205            	131.245075     	129.932624        	0.056768       
16             	212936            	152.543879     	151.018440        	0.097684       
32             	212936            	152.543879     	151.018440        	0.195369       
64             	212936            	152.543879     	151.018440        	0.390738       
128            	212936            	152.543879     	151.018440        	0.781475       
256            	214892            	153.945125     	152.405674        	1.548724       
512            	201032            	144.016047     	142.575887        	3.311000       
1024           	210979            	151.141916     	149.630496        	6.309794       
2048           	218899            	156.815674     	155.247518        	12.162997      
4096           	233749            	167.453972     	165.779433        	22.780572      
8192           	384229            	275.255391     	272.502837        	27.717512      
16384          	1273288           	912.162762     	903.041135        	16.728143      
32768          	4221494           	3024.209471    	2993.967376       	10.091093      

All tests completed!

Note: All data is written to shared memory instead of global memory.
This tests the read performance from different memory sources.
