Found 4 GPU(s)

GPU 0: NVIDIA A100-SXM4-80GB
  Clock rate: 1.41 GHz
  L2 Cache: 40 MB

GPU 1: NVIDIA A100-SXM4-80GB
  Clock rate: 1.41 GHz

P2P Access (GPU 0 -> GPU 1): Supported

Using PTX cache bypass instructions:
  ld.global.cv.f32 - load with cache volatile (bypasses cache on read)
  st.global.wb.f32 - store with write-back (bypasses cache on write)

P2P Test Types:
  PUT: GPU 0 kernel reads local memory, writes to GPU 1 (local read + remote write)
  GET: GPU 0 kernel reads GPU 1 memory, writes local (remote read + local write)

P2P enabled: GPU 0 -> GPU 1


--------------------------------------------------
Testing Stride: 4 Bytes
--------------------------------------------------

=== Test 1: GPU 0 -> GPU 0 (D2D internal, baseline) [Stride: 4B] ===
size(B)        	latency(us)    	bw(MB/s)       
4              	0.331573       	11.504866      
8              	0.331768       	22.996163      
16             	0.331597       	46.016069      
32             	0.331793       	91.977871      
64             	0.332159       	183.752580     
128            	0.320861       	380.446271     
256            	0.313475       	778.819641     
512            	0.222328       	2196.218272    
1024           	0.226828       	4305.298181    
2048           	0.316679       	6167.525002    
4096           	0.348227       	11217.540733   
8192           	0.647640       	12063.028661   
16384          	1.097726       	14233.976073   
32768          	2.029347       	15399.041938   
65536          	4.472096       	13975.550136   
131072         	9.221154       	13555.786587   

=== Test 2: CPU Memory -> GPU 0 (UMA read, run on GPU 0) [Stride: 4B] ===
size(B)        	latency(us)    	bw(MB/s)       
4              	0.871876       	4.375276       
8              	0.872145       	8.747853       
16             	0.871656       	17.505524      
32             	0.872340       	34.983565      
64             	0.874370       	69.804703      
128            	0.871925       	140.000984     
256            	0.872878       	279.696015     
512            	0.869724       	561.421149     
1024           	0.883174       	1105.741440    
2048           	0.880558       	2218.054803    
4096           	0.899633       	4342.047586    
8192           	1.769601       	4414.836095    
16384          	3.292810       	4745.187273    
32768          	6.668868       	4685.952914    
65536          	13.552311      	4611.759547    
131072         	27.398435      	4562.304409    

=== Test 3: GPU 0 -> CPU Memory (UMA write, run on GPU 0) [Stride: 4B] ===
size(B)        	latency(us)    	bw(MB/s)       
4              	0.331524       	11.506563      
8              	0.331499       	23.014824      
16             	0.331670       	46.005890      
32             	0.331646       	92.018566      
64             	0.229738       	265.672508     
128            	0.218538       	558.578232     
256            	0.289949       	842.013340     
512            	0.320787       	1522.133134    
1024           	0.326021       	2995.397241    
2048           	0.339570       	5751.766745    
4096           	0.353045       	11064.461243   
8192           	0.668232       	11691.301603   
16384          	1.118317       	13971.882654   
32768          	2.425507       	12883.901834   
65536          	4.811274       	12990.321908   
131072         	10.312106      	12121.675655   

=== Test 4: PUT - GPU 0 -> GPU 1 (run on GPU 0, local read + remote write) [Stride: 4B] ===
size(B)        	latency(us)    	bw(MB/s)       
4              	0.228882       	16.666628      
8              	0.313964       	24.300198      
16             	0.331695       	46.002498      
32             	0.331890       	91.950760      
64             	0.332086       	183.793176     
128            	0.320959       	380.330317     
256            	0.318464       	766.618811     
512            	0.320518       	1523.410675    
1024           	0.325287       	3002.153269    
2048           	0.310198       	6296.379789    
4096           	0.258645       	15102.738512   
8192           	0.605576       	12900.941968   
16384          	1.118513       	13969.438735   
32768          	2.324040       	13446.411659   
65536          	4.796209       	13031.124278   
131072         	10.211152      	12241.518056   

=== Test 5: GET - GPU 1 -> GPU 0 (run on GPU 0, remote read + local write) [Stride: 4B] ===
size(B)        	latency(us)    	bw(MB/s)       
4              	0.577281       	6.608048       
8              	0.577476       	13.211618      
16             	0.576278       	26.478182      
32             	0.577574       	52.837523      
64             	0.580215       	105.193995     
128            	0.575666       	212.050430     
256            	0.575887       	423.938770     
512            	0.577941       	844.863757     
1024           	0.580900       	1681.119885    
2048           	0.605747       	3224.324004    
4096           	0.603815       	6469.281592    
8192           	1.187552       	6578.659466    
16384          	2.426241       	6440.002923    
32768          	4.763708       	6560.016531    
65536          	9.399780       	6649.091860    
131072         	18.814502      	6643.811133    

--------------------------------------------------
Testing Stride: 8 Bytes
--------------------------------------------------

=== Test 1: GPU 0 -> GPU 0 (D2D internal, baseline) [Stride: 8B] ===
